,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,Abbeville,50.1,1.8333,63.28,95,27,9.06,FR,1627426101
283,Touros,-5.1989,-35.4608,76.1,83,1,13.02,BR,1627426258
284,Socorro,31.6546,-106.3033,98.1,20,40,0.0,US,1627426259
285,Vitim,59.4511,112.5578,73.87,55,0,4.61,RU,1627426261
286,Gisborne,-38.6533,178.0042,54.95,59,25,4.94,NZ,1627426262
287,Hamilton,39.1834,-84.5333,89.83,52,1,1.01,US,1627425912
288,Ilulissat,69.2167,-51.1,55.42,62,100,2.3,GL,1627426156
289,Bāglung,28.2719,83.5898,70.88,93,80,1.57,NP,1627426265
290,Ahipara,-35.1667,173.1667,58.96,82,44,7.92,NZ,1627425736
291,Pokhara,28.2333,83.9833,72.32,93,91,0.56,NP,1627426268
292,Terrace,54.5163,-128.6035,71.42,52,75,5.75,CA,1627426201
293,Norman Wells,65.282,-126.8329,69.84,56,75,8.05,CA,1627426270
294,Lagoa,39.05,-27.9833,71.22,85,100,10.45,PT,1627425551
295,Thinadhoo,0.5333,72.9333,81.82,74,100,7.96,MV,1627426273
296,Baruun-Urt,46.6806,113.2792,67.19,56,60,2.39,MN,1627426274
297,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,47.68,23,0,5.68,AR,1627426275
298,Tautira,-17.7333,-149.15,82.42,73,87,10.94,PF,1627426277
299,Mushābani,22.5167,86.45,76.41,93,100,10.58,IN,1627426278
300,Izumo,35.3667,132.7667,80.55,83,75,5.75,JP,1627426279
301,Nikolayevskaya,47.6139,41.5023,71.08,61,58,8.39,RU,1627426281
302,Palenque/Temp,17.5167,-91.9667,87.85,72,30,2.59,MX,1627426282
303,São Gonçalo do Amarante,-3.6072,-38.9683,80.13,83,13,7.94,BR,1627426283
304,Luanda,-8.8368,13.2343,71.6,88,40,6.91,AO,1627426285
305,Solnechnyy,50.7214,136.6319,75.63,85,71,1.59,RU,1627426286
306,Narok,-1.0783,35.8601,59.58,74,100,3.2,KE,1627426287
307,Mildura,-34.2,142.15,55.36,88,75,8.05,AU,1627426288
308,The Pas,53.8251,-101.2541,80.62,47,75,9.22,CA,1627426290
309,Souillac,-20.5167,57.5167,68.36,100,75,19.57,MU,1627425574
310,Corinth,37.9407,22.9573,87.69,42,0,1.97,GR,1627426292
311,Province of Mantua,45.1667,10.7833,71.08,88,37,3.0,IT,1627426293
312,Cherskiy,68.75,161.3,38.21,78,100,18.52,RU,1627426295
313,Kastamonu Province,41.5,33.6667,56.57,88,0,4.34,TR,1627426296
314,Riyadh,24.6877,46.7219,104.14,12,59,11.97,SA,1627426077
315,Lata,40.1629,-8.3327,62.92,98,3,2.71,PT,1627426299
316,Port-Gentil,-0.7193,8.7815,75.16,88,20,4.61,GA,1627425849
317,Khanbari,27.3747,87.2039,73.0,88,99,2.59,NP,1627426301
318,Marsá Maţrūḩ,31.3525,27.2453,79.0,78,0,2.3,EG,1627426302
319,Lüderitz,-26.6481,15.1594,55.8,74,0,9.8,NA,1627425937
320,Yining,29.0361,114.5636,78.1,94,24,3.4,CN,1627426305
321,Tianpeng,30.9866,103.9393,73.87,75,10,2.26,CN,1627426306
322,Bahía Solano,6.2262,-77.4044,78.33,86,100,0.22,CO,1627426307
323,Beloha,-25.1667,45.05,61.95,76,0,13.71,MG,1627425813
324,Prieska,-29.6641,22.7474,49.66,41,1,5.88,ZA,1627426310
325,Bengkulu,-3.8004,102.2655,72.81,74,40,5.32,ID,1627426311
326,Ulladulla,-35.35,150.4667,61.77,42,50,5.91,AU,1627426312
327,Kieta,-6.2167,155.6333,81.97,77,98,2.17,PG,1627426314
328,Valparaíso,-33.0393,-71.6273,56.84,66,0,17.27,CL,1627426069
329,Yenagoa,4.9247,6.2642,73.63,86,99,3.74,NG,1627426316
330,Phan Thiet,10.9333,108.1,77.27,90,96,10.09,VN,1627426254
331,Mitsamiouli,-11.3847,43.2844,75.54,71,12,5.39,KM,1627425871
332,Mahajanga,-15.7167,46.3167,69.82,83,20,2.3,MG,1627426320
333,Anagé,-14.6122,-41.1356,73.65,53,12,5.64,BR,1627426321
334,Balakliya,49.4627,36.8595,68.83,53,0,4.18,UA,1627426322
335,Severo-Kuril'sk,50.6789,156.125,57.27,95,100,5.97,RU,1627426324
336,Baringo,0.4667,35.9667,68.88,80,100,8.79,KE,1627425837
337,Shelburne,44.0787,-80.2041,75.76,47,54,6.69,CA,1627426326
338,Nemuro,43.3236,145.575,65.28,93,99,8.28,JP,1627426328
339,Eyl,7.9803,49.8164,79.56,51,98,26.31,SO,1627426329
340,Rome,43.2128,-75.4557,71.74,89,90,3.44,US,1627426259
341,Andenes,69.3143,16.1194,52.07,100,90,9.22,NO,1627426331
342,Kaitangata,-46.2817,169.8464,51.93,64,83,4.03,NZ,1627426333
343,Chapais,49.7834,-74.8492,60.58,48,100,6.33,CA,1627425878
344,Soria,41.6667,-2.6667,67.01,78,77,5.46,ES,1627426335
345,São Gabriel da Cachoeira,-0.1303,-67.0892,75.99,89,100,1.36,BR,1627426336
346,Beringovskiy,63.05,179.3167,49.26,95,100,5.61,RU,1627426338
347,Srednekolymsk,67.45,153.6833,38.12,95,100,10.36,RU,1627425852
348,Gizo Government Station,-8.103,156.8419,82.8,74,86,8.1,SB,1627426340
349,Amudat,1.95,34.95,68.7,74,100,3.67,UG,1627426342
350,Beyneu,45.3167,55.2,79.47,21,99,9.84,KZ,1627425857
351,Chāībāsa,22.5667,85.8167,75.76,93,100,9.31,IN,1627426344
352,Nakamura,32.9833,132.9333,82.58,70,37,2.93,JP,1627426345
353,Flin Flon,54.7682,-101.865,80.44,39,20,10.36,CA,1627426347
354,Novy Urengoy,66.0833,76.6333,45.5,77,0,4.27,RU,1627426348
355,Chālūs,36.655,51.4204,80.06,83,75,0.0,IR,1627426349
356,Koslan,63.4564,48.8989,45.36,88,100,7.56,RU,1627426351
357,Noumea,-22.2763,166.4572,72.0,99,49,12.97,NC,1627425809
358,Farafangana,-22.8167,47.8333,63.34,88,98,6.15,MG,1627426353
359,Kimbe,-5.5502,150.1429,83.43,73,6,1.01,PG,1627426354
360,Arrondissement de Saint-Denis,48.9167,2.3333,64.56,94,75,8.05,FR,1627426356
361,Stornoway,58.2093,-6.3865,60.93,94,90,8.05,GB,1627426357
362,Coahuayana Viejo,18.7333,-103.6833,86.07,72,64,6.08,MX,1627426358
363,Dunedin,-45.8742,170.5036,53.8,60,11,8.99,NZ,1627426060
364,Heishan,41.6892,122.1128,78.12,81,99,3.04,CN,1627426361
365,Zolotukhino,52.0842,36.3772,64.47,54,80,5.01,RU,1627426362
366,Camopi,3.1655,-52.3158,75.52,86,99,3.67,GF,1627426363
367,College,64.8569,-147.8028,66.52,65,90,9.22,US,1627426365
368,Iqaluit,63.7506,-68.5145,53.33,54,90,15.01,CA,1627426366
369,Porto-Novo,6.4965,2.6036,76.82,79,100,8.28,BJ,1627426367
370,Yar-Sale,66.8333,70.8333,47.39,68,99,8.59,RU,1627426369
371,São Filipe,14.8961,-24.4956,74.64,81,16,5.3,CV,1627425806
372,Ballina,-28.8667,153.5667,61.79,88,3,4.61,AU,1627426095
373,Necochea,-38.5473,-58.7368,45.03,66,59,23.42,AR,1627426157
374,Hibbing,47.4272,-92.9377,83.59,31,0,3.56,US,1627426373
375,Abnūb,27.2696,31.1511,82.62,27,0,9.13,EG,1627426375
376,Flinders,-34.5833,150.8552,60.39,50,79,9.91,AU,1627425814
377,Catamayo,-3.9833,-79.35,69.82,77,52,1.1,EC,1627426377
378,Waingapu,-9.6567,120.2641,76.86,78,40,7.34,ID,1627426378
379,Ternate,0.8,127.4,81.86,79,65,7.7,ID,1627426380
380,Margate,51.3813,1.3862,63.3,87,22,1.99,GB,1627426112
381,Mayor Pablo Lagerenza,-19.9309,-60.7718,59.38,34,97,7.61,PY,1627426382
382,Mgandu,-5.95,34.1333,57.83,48,5,9.66,TZ,1627426384
383,Kitob,39.0843,66.8332,77.58,25,0,10.92,UZ,1627426385
384,Mirny,62.5353,113.9611,73.0,65,16,4.27,RU,1627426386
385,Takoradze,4.8845,-1.7554,75.33,84,93,9.08,GH,1627425794
386,Dwārka,22.2394,68.9678,82.17,85,100,25.75,IN,1627426389
387,Newport,51.5877,-2.9984,62.92,89,91,6.82,GB,1627426390
388,Taos,36.4072,-105.5731,79.2,36,1,3.44,US,1627426391
389,Walvis Bay,-22.9575,14.5053,58.15,72,0,1.14,NA,1627426393
390,Starosubkhangulovo,53.1031,57.4423,55.63,75,64,2.24,RU,1627426394
391,Haileybury,47.449,-79.6373,70.38,52,33,7.36,CA,1627426395
392,Bossangoa,6.4926,17.4552,69.42,99,100,2.82,CF,1627426397
393,Sechura,-5.5569,-80.8222,72.03,70,10,18.25,PE,1627426398
394,Palapye,-22.546,27.1251,49.57,57,0,3.74,BW,1627426399
395,Jatai,-17.8814,-51.7144,76.66,36,44,8.25,BR,1627426401
396,Piaçabuçu,-10.4056,-36.4344,73.0,89,15,6.31,BR,1627425847
397,Cayenne,4.9333,-52.3333,81.09,86,75,4.0,GF,1627426403
398,Tekkali,18.6167,84.2333,81.9,71,100,6.02,IN,1627426404
399,Berlevåg,70.8578,29.0864,46.47,89,78,7.11,NO,1627426406
400,Pyn U Lwin,22.0333,96.4667,67.37,97,100,2.08,MM,1627426407
401,Auki,-8.7676,160.7034,82.99,70,70,4.79,SB,1627426401
402,Bowen,-20.0167,148.2333,57.42,68,42,6.85,AU,1627426409
403,Karaton,-6.3424,106.1045,74.95,82,69,1.59,ID,1627426411
404,Longfeng,46.55,125.1167,75.45,77,83,7.54,CN,1627426412
405,Panabá,21.2833,-88.2667,88.66,53,91,11.72,MX,1627426413
406,Aparecida do Taboado,-20.0867,-51.0936,71.69,67,57,19.91,BR,1627426415
407,Kralendijk,12.15,-68.2667,84.18,74,75,13.8,BQ,1627426416
408,Puerto Carreño,6.189,-67.4859,77.45,88,95,5.53,CO,1627426417
409,Biharia,47.15,21.9167,75.31,61,97,6.91,RO,1627426419
410,Makurdi,7.7411,8.5121,71.67,82,38,2.75,NG,1627426420
411,Forrest City,35.0081,-90.7898,91.18,66,86,5.84,US,1627426421
412,Cowra,-33.8333,148.6833,56.26,57,97,14.58,AU,1627426423
413,Namatanai,-3.6667,152.4333,83.7,69,43,4.56,PG,1627426044
414,Paracuru,-3.41,-39.0306,80.11,82,15,11.54,BR,1627426425
415,Vizinga,61.0749,50.1031,49.05,74,99,6.44,RU,1627426426
416,Bonthe,7.5264,-12.505,77.18,84,100,11.05,SL,1627426112
417,Aripuanã,-9.1667,-60.6333,82.65,41,72,0.76,BR,1627426429
418,Lyngdal,58.1376,7.07,65.89,85,81,8.03,NO,1627426430
419,Salekhard,66.53,66.6019,47.82,95,100,8.86,RU,1627426432
420,Nakhon Phanom,17.3333,104.4167,75.15,94,100,3.76,TH,1627426398
421,Barra de Tecoanapa,16.5167,-98.75,85.73,65,74,7.61,MX,1627426434
422,Oistins,13.0667,-59.5333,82.49,69,20,17.27,BB,1627426435
423,Buraidah,26.326,43.975,95.45,16,3,10.4,SA,1627426437
424,Jagdalpur,19.0667,82.0333,74.1,84,100,9.46,IN,1627426438
425,Chicama,-7.8447,-79.1469,64.94,79,13,10.49,PE,1627426439
426,Cravo Norte,6.3017,-70.2041,79.99,79,51,2.68,CO,1627426441
427,Ambanja,-13.6833,48.45,65.68,89,29,4.07,MG,1627426442
428,Maniitsoq,65.4167,-52.9,48.88,80,97,16.31,GL,1627426444
429,Nsoko,-27.0333,31.95,53.19,90,1,3.91,SZ,1627426445
430,Maxixe,-23.8597,35.3472,63.23,66,0,6.6,MZ,1627426446
431,Baishishan,43.5833,127.5667,79.81,69,17,0.92,CN,1627426447
432,Anadyr,64.75,177.4833,50.5,93,90,15.01,RU,1627426449
433,Mwinilunga,-11.7358,24.4293,52.93,47,100,4.07,ZM,1627426450
434,Ardeşen,41.1911,40.9875,69.76,72,48,5.01,TR,1627426451
435,Fiumicino,41.7675,12.2291,80.49,77,0,4.61,IT,1627426453
436,Hambantota,6.1241,81.1185,80.02,80,99,17.02,LK,1627426454
437,Tamandaré,-8.7597,-35.1047,74.55,86,20,6.91,BR,1627426455
438,Kirov,58.5966,49.6601,45.41,84,5,5.23,RU,1627426457
439,Verkhoyansk,67.5447,133.385,54.39,51,2,12.48,RU,1627426458
440,Kandrian,-6.2167,149.55,81.68,77,10,0.18,PG,1627426459
441,Barcelos,41.5388,-8.6151,65.84,89,0,4.81,PT,1627426461
442,Goderich,43.7501,-81.7165,73.2,73,20,10.36,CA,1627426180
443,Kisangani,0.5167,25.2,75.47,72,99,1.79,CD,1627426463
444,Palu,-0.8917,119.8707,75.97,91,67,2.98,ID,1627426464
445,Kamaishi,39.2667,141.8833,76.15,96,100,18.39,JP,1627426466
446,Iguatemi,-23.6803,-54.5611,51.15,50,100,6.33,BR,1627426467
447,Lompoc,34.6391,-120.4579,90.79,75,20,13.8,US,1627426336
448,Santa Catarina de Tepehuanes,25.35,-105.7333,83.26,23,28,17.81,MX,1627426470
449,Westport,41.1415,-73.3579,87.15,55,53,1.01,US,1627426471
450,Amposta,40.7131,0.581,75.06,74,6,6.38,ES,1627426472
451,Russell,32.3502,-85.1999,78.03,88,1,0.0,US,1627426475
452,Altay,47.8667,88.1167,59.65,71,0,0.22,CN,1627426476
453,The Valley,18.217,-63.0578,84.34,70,40,12.66,AI,1627426364
454,Cascais,38.6979,-9.4215,68.47,73,0,17.0,PT,1627426479
455,Lagos,6.5833,3.75,77.32,81,100,5.39,NG,1627426447
456,Arman',59.7,150.1667,53.96,77,100,10.02,RU,1627426088
457,Kutum,14.2,24.6667,70.32,79,92,10.65,SD,1627426431
458,Tynda,55.1667,124.7167,62.71,83,100,0.6,RU,1627426483
459,Angoram,-4.0625,144.0661,79.95,82,49,2.93,PG,1627426485
460,Likasi,-10.9814,26.7333,54.23,49,91,3.56,CD,1627426486
461,Ust-Kuyga,70.0167,135.6,49.1,63,25,15.55,RU,1627426487
462,Conakry,9.538,-13.6773,78.87,94,75,6.91,GN,1627426344
463,Mahébourg,-20.4081,57.7,69.26,100,75,19.57,MU,1627426490
464,Aykhal,66.0,111.5,79.34,42,20,3.24,RU,1627426491
465,Umarkot,25.3616,69.7362,83.23,74,100,22.3,PK,1627426493
466,Balsas,-7.5325,-46.0356,82.31,34,17,1.77,BR,1627426494
467,Nizhneangarsk,55.7833,109.55,60.49,61,67,0.69,RU,1627426495
468,Hofn,64.2539,-15.2082,54.12,83,94,5.39,IS,1627426497
469,Korla,41.7597,86.1469,85.05,18,5,13.69,CN,1627426498
470,Bāpatla,15.9,80.4667,83.8,63,89,17.65,IN,1627426499
471,Gallup,35.5281,-108.7426,75.04,46,75,19.57,US,1627426501
472,Ixtapa,20.7,-105.2,89.22,74,55,5.01,MX,1627426502
473,Nueva Florida,-6.9526,-76.613,88.83,76,26,2.21,PE,1627426504
474,Severo-Yeniseyskiy,60.3725,93.0408,54.28,95,100,7.14,RU,1627425943
475,La Huacana,18.9667,-101.8167,86.86,59,56,3.15,MX,1627426507
476,Umeå,63.8284,20.2597,64.33,77,40,4.61,SE,1627426347
477,Price,39.5994,-110.8107,49.23,29,52,9.17,US,1627426509
478,Ust-Maya,60.4167,134.5333,69.4,57,2,3.09,RU,1627426510
479,Saint Anthony,45.0205,-93.218,95.9,56,40,1.99,US,1627426512
480,Kortkeros,61.8106,51.5806,46.4,92,100,7.18,RU,1627426513
481,Scarborough,54.2797,-0.4044,63.54,88,98,1.01,GB,1627426514
482,Salò,45.6086,10.531,71.47,84,40,4.12,IT,1627426516
483,Niamey,13.5137,2.1098,79.09,89,0,2.3,NE,1627426517
484,Crossville,35.949,-85.0269,87.94,75,82,1.01,US,1627426455
485,Ferreira do Alentejo,38.05,-8.0333,71.19,60,0,8.05,PT,1627426519
486,Along,28.1667,94.7667,74.7,94,98,1.59,IN,1627426521
487,Coulommiers,48.8145,3.085,64.18,93,91,1.99,FR,1627426522
488,Honningsvåg,70.9821,25.9704,46.53,89,17,7.58,NO,1627426523
489,Benghazi,32.1167,20.0667,79.0,70,0,14.72,LY,1627426525
490,Severnoye,56.3491,78.3619,56.17,70,61,4.52,RU,1627426526
491,Nueva Rosita,27.95,-101.2167,97.21,14,23,12.59,MX,1627426527
492,Natal,-5.795,-35.2094,77.22,88,20,6.91,BR,1627426529
493,Arrecife,28.963,-13.5477,73.47,73,75,12.66,ES,1627426530
494,Pangnirtung,66.1451,-65.7125,46.4,100,90,0.0,CA,1627426532
495,Hauterive,46.0901,3.4459,63.36,94,86,2.28,FR,1627426533
496,Palmas de Monte Alto,-14.2672,-43.1619,73.98,35,26,3.15,BR,1627426534
497,Misratah,32.3754,15.0925,79.09,70,0,10.31,LY,1627426536
498,Colesberg,-30.72,25.0972,42.39,39,5,6.35,ZA,1627426537
499,Baiyin,36.5583,104.2081,54.48,63,4,7.31,CN,1627426538
500,San Quintín,30.4833,-115.95,75.36,68,1,13.78,MX,1627426452
501,Rincon,32.296,-81.2354,91.85,82,100,4.32,US,1627426541
502,Mabamba,-3.5983,30.5019,61.86,47,16,2.13,TZ,1627426542
503,Marysville,48.0518,-122.1771,88.45,52,20,3.0,US,1627426543
504,Changji,44.0167,87.3167,81.39,28,0,8.95,CN,1627426104
505,Panzhihua,26.5851,101.7128,70.79,96,99,1.32,CN,1627426546
506,Umm Hājar,13.2954,19.6966,75.22,87,99,9.78,TD,1627426547
507,Ābyek,36.0667,50.55,80.2,29,0,5.37,IR,1627426130
508,Morón,-34.6534,-58.6198,49.96,53,28,5.01,AR,1627426096
509,Broome,42.2506,-75.833,71.56,95,40,1.99,US,1627426551
510,Plouzané,48.3833,-4.6167,59.05,88,40,5.75,FR,1627426552
511,Mahon,39.8885,4.2658,73.96,78,0,4.61,ES,1627426553
512,Nānākuli,21.3906,-158.1547,86.04,57,75,11.5,US,1627426555
513,Nerang,-27.9833,153.3333,65.86,84,0,1.99,AU,1627426556
514,Alta Floresta,-9.8756,-56.0861,80.35,34,40,2.35,BR,1627426557
515,Ancud,-41.8697,-73.8203,47.73,81,97,2.82,CL,1627426559
516,Formosa,-26.1775,-58.1781,49.98,43,0,4.61,AR,1627426184
517,Miraflores,19.2167,-98.8083,75.02,60,98,4.38,MX,1627426561
518,Ust'-Koksa,50.2696,85.6108,55.04,97,100,2.08,RU,1627426563
519,Harindānga,22.0383,88.3214,84.18,89,100,11.86,IN,1627426564
520,Wairoa,-39.0333,177.3667,55.6,71,11,1.99,NZ,1627426565
521,Mercedes,-34.6515,-59.4307,48.51,60,12,9.82,AR,1627426567
522,Vao,-22.6667,167.4833,67.84,61,100,17.05,NC,1627426084
523,Kailua,21.4022,-157.7394,86.07,67,40,13.8,US,1627426526
524,Capaci,38.1711,13.2393,84.13,57,2,2.3,IT,1627426570
525,Kotka,60.4664,26.9458,67.96,72,100,8.79,FI,1627426572
526,Mackay,-21.15,149.2,71.04,94,75,6.91,AU,1627426573
527,Lyuban',52.7985,28.0048,61.93,98,100,5.41,BY,1627426574
528,Karlskrona,56.1616,15.5866,64.85,90,62,7.85,SE,1627426576
529,Poum,-20.2333,164.0167,71.28,61,2,13.42,NC,1627426577
530,Prigen,-7.6833,112.6167,60.33,81,22,3.51,ID,1627426578
531,Mt. Pleasant,32.7941,-79.8626,86.0,84,40,1.99,US,1627426580
532,Tongliao,43.6125,122.2653,75.38,78,100,2.73,CN,1627426173
533,Belūsovka,50.1339,82.5239,48.24,85,0,2.75,KZ,1627426582
534,Buta,2.7858,24.73,70.93,95,100,2.15,CD,1627426509
535,Myitkyina,25.3833,97.4,74.82,100,98,0.87,MM,1627426584
536,Nishihara,26.1842,127.7558,81.68,89,75,9.22,JP,1627426586
537,Kuril'sk,45.2333,147.8833,68.5,87,47,2.28,RU,1627426587
538,Coromandel,-18.4733,-47.2003,66.2,36,3,1.59,BR,1627426589
539,Haines Junction,60.7522,-137.5108,62.55,63,87,4.61,CA,1627426590
540,Vilyuysk,63.7553,121.6247,65.01,52,18,6.93,RU,1627426591
541,Araripe,-7.2125,-40.0461,76.89,44,66,8.41,BR,1627426593
542,Ishigaki,24.3448,124.1572,80.73,94,75,2.3,JP,1627426594
543,Sterling,39.0062,-77.4286,94.33,40,1,1.01,US,1627426398
544,Santarém,-2.4431,-54.7083,84.33,79,0,6.91,BR,1627426597
545,Mpika,-11.8343,31.4529,45.57,68,23,3.62,ZM,1627426598
546,Corowa,-36.0333,146.3833,52.12,90,100,12.37,AU,1627426599
547,Chara,56.9064,118.2631,66.56,69,99,1.1,RU,1627426601
548,Neuquén,-38.9516,-68.0591,49.89,43,0,2.3,AR,1627426553
549,Buluang,13.3068,123.3425,81.81,82,100,13.22,PH,1627426603
550,Lékoni,-1.5843,14.2591,82.67,46,100,8.43,GA,1627426604
551,Nizip,37.0097,37.7942,82.53,32,0,23.6,TR,1627426606
552,Weatherford,32.7593,-97.7972,100.67,41,100,1.01,US,1627426310
553,Vostok,46.4856,135.8833,82.09,62,89,0.47,RU,1627426608
554,Inírida,3.8653,-67.9239,73.87,96,97,3.65,CO,1627426385
555,Markova,48.6758,24.4138,66.09,77,56,3.91,UA,1627426611
556,Alvdal,62.1077,10.6307,60.64,93,99,2.84,NO,1627426612
557,Buala,-8.145,159.5921,81.9,78,95,10.2,SB,1627426196
558,Belaya Gora,68.5333,146.4167,41.09,80,100,11.77,RU,1627426614
559,Richards Bay,-28.783,32.0377,63.18,66,4,16.33,ZA,1627426616
560,Nanortalik,60.1432,-45.2371,46.42,76,55,3.85,GL,1627426617
561,Outlook,51.5001,-107.0513,98.29,20,72,17.52,CA,1627426618
562,Cabedelo,-6.9811,-34.8339,75.87,84,6,10.45,BR,1627426620
563,Manavgat,36.7867,31.4431,88.21,36,0,18.84,TR,1627426621
